Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Referinta:40112,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Detalii:Suma tranzactiei: 250.2 RON,,,,
,,,Platita la: OMV 1007,,,,
24 februarie 2026,,,Cumparare POS,"250,20",,,"7.218,92"
,,,Data finalizarii (decontarii): 25-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:24-02-2026,,,,
,,,Numar autorizare:100053,,,,
23 februarie 2026,,,Tranzactie Round Up,"0,59",,,"7.469,12"
,,,Data finalizarii (decontarii): 23-02-2026,,,,
,,,Referinta:40110,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 141.41 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
23 februarie 2026,,,Cumparare POS,"141,41",,,"7.469,71"
,,,Data finalizarii (decontarii): 24-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:23-02-2026,,,,
,,,Numar autorizare:100052,,,,
23 februarie 2026,,,Tranzactie Round Up,"0,70",,,"7.611,12"
,,,Data finalizarii (decontarii): 23-02-2026,,,,
,,,Referinta:40108,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 161.3 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
23 februarie 2026,,,Cumparare POS,"161,30",,,"7.611,82"
,,,Data finalizarii (decontarii): 24-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:23-02-2026,,,,
,,,Numar autorizare:100051,,,,
21 februarie 2026,,,Tranzactie Round Up,"1,00",,,"7.773,12"
,,,Data finalizarii (decontarii): 21-02-2026,,,,
,,,Referinta:40106,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
21 februarie 2026,,,Cumparare POS,"5,00",,,"7.774,12"
,,,Data finalizarii (decontarii): 22-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:21-02-2026,,,,
,,,Numar autorizare:100050,,,,
21 februarie 2026,,,Tranzactie Round Up,"0,83",,,"7.779,12"
,,,Data finalizarii (decontarii): 21-02-2026,,,,
,,,Referinta:40104,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 278.17 RON,,,,
,,,Platita la: OMV 1007,,,,
21 februarie 2026,,,Cumparare POS,"278,17",,,"7.779,95"
,,,Data finalizarii (decontarii): 22-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Data autorizarii:21-02-2026,,,,
,,,Numar autorizare:100049,,,,
20 februarie 2026,,,Plata debit direct,"136,44",,,"8.058,12"
,,,Data finalizarii (decontarii): 20-02-2026,,,,
,,,Beneficiar:DIGI ROMANIA SA,,,,
,,,In contul:RO35ANON9999999999999999,,,,
,,,Banca:INGB CENTRALA,,,,
,,,Detalii:37741995,,,,
,,,60439508,,,,
,,,Referinta:961985602,,,,
20 februarie 2026,,,Tranzactie Round Up,"0,04",,,"8.194,56"
,,,Data finalizarii (decontarii): 20-02-2026,,,,
,,,Referinta:40101,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 233.96 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
20 februarie 2026,,,Cumparare POS,"233,96",,,"8.194,60"
,,,Data finalizarii (decontarii): 21-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:20-02-2026,,,,
,,,Numar autorizare:100048,,,,
19 februarie 2026,,,Tranzactie Round Up,"0,04",,,"8.428,56"
,,,Data finalizarii (decontarii): 19-02-2026,,,,
,,,Referinta:40099,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 86.96 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
19 februarie 2026,,,Cumparare POS,"86,96",,,"8.428,60"
,,,Data finalizarii (decontarii): 20-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:19-02-2026,,,,
,,,Numar autorizare:100047,,,,
17 februarie 2026,,,Tranzactie Round Up,"0,27",,,"8.515,56"
,,,Data finalizarii (decontarii): 17-02-2026,,,,
,,,Referinta:40097,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 166.73 RON,,,,
,,,Platita la: OMV 1007,,,,
17 februarie 2026,,,Cumparare POS,"166,73",,,"8.515,83"
,,,Data finalizarii (decontarii): 18-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:17-02-2026,,,,
,,,Numar autorizare:100046,,,,
17 februarie 2026,,,Tranzactie Round Up,"1,00",,,"8.682,56"
,,,Data finalizarii (decontarii): 17-02-2026,,,,
,,,Referinta:40095,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
17 februarie 2026,,,Cumparare POS,"5,00",,,"8.683,56"
,,,Data finalizarii (decontarii): 18-02-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:17-02-2026,,,,
,,,Numar autorizare:100045,,,,
16 februarie 2026,,,Tranzactie Round Up,"0,19",,,"8.688,56"
,,,Data finalizarii (decontarii): 16-02-2026,,,,
,,,Referinta:40093,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 303.81 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
16 februarie 2026,,,Cumparare POS,"303,81",,,"8.688,75"
,,,Data finalizarii (decontarii): 17-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:16-02-2026,,,,
,,,Numar autorizare:100044,,,,
16 februarie 2026,,,Tranzactie Round Up,"0,53",,,"8.992,56"
,,,Data finalizarii (decontarii): 16-02-2026,,,,
,,,Referinta:40091,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 181.47 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
16 februarie 2026,,,Cumparare POS,"181,47",,,"8.993,09"
,,,Data finalizarii (decontarii): 17-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:16-02-2026,,,,
,,,Numar autorizare:100043,,,,
14 februarie 2026,,,Retragere numerar,"200,00",,,"9.174,56"
,,,Data finalizarii (decontarii): 14-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STR. EXEMPLU NR 1  RO  BUCURESTI,,,,
,,,Data autorizarii:14-02-2026,,,,
,,,Numar autorizare:034281,,,,
13 februarie 2026,,,Tranzactie Round Up,"0,82",,,"9.374,56"
,,,Data finalizarii (decontarii): 13-02-2026,,,,
,,,Referinta:40088,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 575.18 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
13 februarie 2026,,,Cumparare POS,"575,18",,,"9.375,38"
,,,Data finalizarii (decontarii): 14-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:13-02-2026,,,,
,,,Numar autorizare:100042,,,,
13 februarie 2026,,,Tranzactie Round Up,"0,50",,,"9.950,56"
,,,Data finalizarii (decontarii): 13-02-2026,,,,
,,,Referinta:40086,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
13 februarie 2026,,,Cumparare POS,"18,50",,,"9.951,06"
,,,Data finalizarii (decontarii): 14-02-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:13-02-2026,,,,
,,,Numar autorizare:100041,,,,
12 februarie 2026,,,Tranzactie Round Up,"0,50",,,"9.969,56"
,,,Data finalizarii (decontarii): 12-02-2026,,,,
,,,Referinta:40084,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
12 februarie 2026,,,Cumparare POS,"18,50",,,"9.970,06"
,,,Data finalizarii (decontarii): 13-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:12-02-2026,,,,
,,,Numar autorizare:100040,,,,
12 februarie 2026,,,Tranzactie Round Up,"0,50",,,"9.988,56"
,,,Data finalizarii (decontarii): 12-02-2026,,,,
,,,Referinta:40082,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
12 februarie 2026,,,Cumparare POS,"18,50",,,"9.989,06"
,,,Data finalizarii (decontarii): 13-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:12-02-2026,,,,
,,,Numar autorizare:100039,,,,
11 februarie 2026,,,Transfer Home'Bank,"2.700,00",,,"10.007,56"
,,,Data finalizarii (decontarii): 11-02-2026,,,,
,,,Beneficiar:PERSON_2,,,,
,,,In contul:RO35ANON9999999999999999,,,,
,,,Banca:BCRO CENTRALA,,,,
,,,Detalii:transfer lunar,,,,
,,,Referinta:948800001,,,,
10 februarie 2026,,,Incasare,,,"8.500,00","12.707,56"
,,,Data: 10-02-2026,,,,
,,,Ordonator:ACME SOFTWARE SRL,,,,
,,,Din contul:RO35ANON9999999999999999,,,,
,,,Referinta:9643095989148782707941,,,,
10 februarie 2026,,,Tranzactie Round Up,"0,52",,,"4.207,56"
,,,Data finalizarii (decontarii): 10-02-2026,,,,
,,,Referinta:40078,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 164.48 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
10 februarie 2026,,,Cumparare POS,"164,48",,,"4.208,08"
,,,Data finalizarii (decontarii): 11-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:10-02-2026,,,,
,,,Numar autorizare:100038,,,,
10 februarie 2026,,,Tranzactie Round Up,"0,50",,,"4.372,56"
,,,Data finalizarii (decontarii): 10-02-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Referinta:40076,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
10 februarie 2026,,,Cumparare POS,"18,50",,,"4.373,06"
,,,Data finalizarii (decontarii): 11-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:10-02-2026,,,,
,,,Numar autorizare:100037,,,,
07 februarie 2026,,,Tranzactie Round Up,"0,31",,,"4.391,56"
,,,Data finalizarii (decontarii): 07-02-2026,,,,
,,,Referinta:40074,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 172.69 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
07 februarie 2026,,,Cumparare POS,"172,69",,,"4.391,87"
,,,Data finalizarii (decontarii): 08-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:07-02-2026,,,,
,,,Numar autorizare:100036,,,,
06 februarie 2026,,,Tranzactie Round Up,"0,65",,,"4.564,56"
,,,Data finalizarii (decontarii): 06-02-2026,,,,
,,,Referinta:40072,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 217.35 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
06 februarie 2026,,,Cumparare POS,"217,35",,,"4.565,21"
,,,Data finalizarii (decontarii): 07-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:06-02-2026,,,,
,,,Numar autorizare:100035,,,,
05 februarie 2026,,,Tranzactie Round Up,"1,00",,,"4.782,56"
,,,Data finalizarii (decontarii): 05-02-2026,,,,
,,,Referinta:40070,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
05 februarie 2026,,,Cumparare POS,"5,00",,,"4.783,56"
,,,Data finalizarii (decontarii): 06-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:05-02-2026,,,,
,,,Numar autorizare:100034,,,,
05 februarie 2026,,,Tranzactie Round Up,"0,76",,,"4.788,56"
,,,Data finalizarii (decontarii): 05-02-2026,,,,
,,,Referinta:40068,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 53.24 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
05 februarie 2026,,,Cumparare POS,"53,24",,,"4.789,32"
,,,Data finalizarii (decontarii): 06-02-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:05-02-2026,,,,
,,,Numar autorizare:100033,,,,
03 februarie 2026,,,Tranzactie Round Up,"0,50",,,"4.842,56"
,,,Data finalizarii (decontarii): 03-02-2026,,,,
,,,Referinta:40066,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
03 februarie 2026,,,Cumparare POS,"18,50",,,"4.843,06"
,,,Data finalizarii (decontarii): 04-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:03-02-2026,,,,
,,,Numar autorizare:100032,,,,
31 ianuarie 2026,,,Tranzactie Round Up,"0,97",,,"4.861,56"
,,,Data finalizarii (decontarii): 31-01-2026,,,,
,,,Referinta:40064,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 161.03 RON,,,,
,,,Platita la: OMV 1007,,,,
31 ianuarie 2026,,,Cumparare POS,"161,03",,,"4.862,53"
,,,Data finalizarii (decontarii): 01-02-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:31-01-2026,,,,
,,,Numar autorizare:100031,,,,
30 ianuarie 2026,,,Tranzactie Round Up,"0,86",,,"5.023,56"
,,,Data finalizarii (decontarii): 30-01-2026,,,,
,,,Referinta:40062,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 681.14 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
30 ianuarie 2026,,,Cumparare POS,"681,14",,,"5.024,42"
,,,Data finalizarii (decontarii): 31-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:30-01-2026,,,,
,,,Numar autorizare:100030,,,,
29 ianuarie 2026,,,Tranzactie Round Up,"0,19",,,"5.705,56"
,,,Data finalizarii (decontarii): 29-01-2026,,,,
,,,Referinta:40060,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 224.81 RON,,,,
,,,Platita la: OMV 1007,,,,
29 ianuarie 2026,,,Cumparare POS,"224,81",,,"5.705,75"
,,,Data finalizarii (decontarii): 30-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:29-01-2026,,,,
,,,Numar autorizare:100029,,,,
29 ianuarie 2026,,,Tranzactie Round Up,"0,50",,,"5.930,56"
,,,Data finalizarii (decontarii): 29-01-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Referinta:40058,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
29 ianuarie 2026,,,Cumparare POS,"18,50",,,"5.931,06"
,,,Data finalizarii (decontarii): 30-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:29-01-2026,,,,
,,,Numar autorizare:100028,,,,
28 ianuarie 2026,,,Tranzactie Round Up,"0,33",,,"5.949,56"
,,,Data finalizarii (decontarii): 28-01-2026,,,,
,,,Referinta:40056,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 150.67 RON,,,,
,,,Platita la: OMV 1007,,,,
28 ianuarie 2026,,,Cumparare POS,"150,67",,,"5.949,89"
,,,Data finalizarii (decontarii): 29-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:28-01-2026,,,,
,,,Numar autorizare:100027,,,,
28 ianuarie 2026,,,Tranzactie Round Up,"0,10",,,"6.100,56"
,,,Data finalizarii (decontarii): 28-01-2026,,,,
,,,Referinta:40054,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 37.9 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
28 ianuarie 2026,,,Cumparare POS,"37,90",,,"6.100,66"
,,,Data finalizarii (decontarii): 29-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:28-01-2026,,,,
,,,Numar autorizare:100026,,,,
27 ianuarie 2026,,,Tranzactie Round Up,"0,62",,,"6.138,56"
,,,Data finalizarii (decontarii): 27-01-2026,,,,
,,,Referinta:40052,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 84.38 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
27 ianuarie 2026,,,Cumparare POS,"84,38",,,"6.139,18"
,,,Data finalizarii (decontarii): 28-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:27-01-2026,,,,
,,,Numar autorizare:100025,,,,
27 ianuarie 2026,,,Tranzactie Round Up,"0,84",,,"6.223,56"
,,,Data finalizarii (decontarii): 27-01-2026,,,,
,,,Referinta:40050,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 302.16 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
27 ianuarie 2026,,,Cumparare POS,"302,16",,,"6.224,40"
,,,Data finalizarii (decontarii): 28-01-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:27-01-2026,,,,
,,,Numar autorizare:100024,,,,
26 ianuarie 2026,,,Tranzactie Round Up,"0,48",,,"6.526,56"
,,,Data finalizarii (decontarii): 26-01-2026,,,,
,,,Referinta:40048,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 195.52 RON,,,,
,,,Platita la: OMV 1007,,,,
26 ianuarie 2026,,,Cumparare POS,"195,52",,,"6.527,04"
,,,Data finalizarii (decontarii): 27-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:26-01-2026,,,,
,,,Numar autorizare:100023,,,,
23 ianuarie 2026,,,Tranzactie Round Up,"0,81",,,"6.722,56"
,,,Data finalizarii (decontarii): 23-01-2026,,,,
,,,Referinta:40046,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 215.19 RON,,,,
,,,Platita la: OMV 1007,,,,
23 ianuarie 2026,,,Cumparare POS,"215,19",,,"6.723,37"
,,,Data finalizarii (decontarii): 24-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:OMV 1007  RO  BUCURESTI,,,,
,,,Data autorizarii:23-01-2026,,,,
,,,Numar autorizare:100022,,,,
23 ianuarie 2026,,,Tranzactie Round Up,"1,00",,,"6.938,56"
,,,Data finalizarii (decontarii): 23-01-2026,,,,
,,,Referinta:40044,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
23 ianuarie 2026,,,Cumparare POS,"5,00",,,"6.939,56"
,,,Data finalizarii (decontarii): 24-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:23-01-2026,,,,
,,,Numar autorizare:100021,,,,
22 ianuarie 2026,,,Tranzactie Round Up,"0,22",,,"6.944,56"
,,,Data finalizarii (decontarii): 22-01-2026,,,,
,,,Referinta:40042,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 44.78 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
22 ianuarie 2026,,,Cumparare POS,"44,78",,,"6.944,78"
,,,Data finalizarii (decontarii): 23-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:22-01-2026,,,,
,,,Numar autorizare:100020,,,,
22 ianuarie 2026,,,Tranzactie Round Up,"0,34",,,"6.989,56"
,,,Data finalizarii (decontarii): 22-01-2026,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
,,ING Bank N.V. Amsterdam,,,ING Bank N.V. Amsterdam,,
,,Sucursala Bucuresti,,,Sucursala Bucuresti,,
Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
,,,Referinta:40040,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 555.66 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
22 ianuarie 2026,,,Cumparare POS,"555,66",,,"6.989,90"
,,,Data finalizarii (decontarii): 23-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:22-01-2026,,,,
,,,Numar autorizare:100019,,,,
21 ianuarie 2026,,,Tranzactie Round Up,"0,20",,,"7.545,56"
,,,Data finalizarii (decontarii): 21-01-2026,,,,
,,,Referinta:40038,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 455.8 RON,,,,
,,,Platita la: PayU*eMAG.ro,,,,
21 ianuarie 2026,,,Cumparare POS,"455,80",,,"7.545,76"
,,,Data finalizarii (decontarii): 22-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:PayU*eMAG.ro  RO  ROMANIA,,,,
,,,Data autorizarii:21-01-2026,,,,
,,,Numar autorizare:100018,,,,
20 ianuarie 2026,,,Plata debit direct,"136,44",,,"8.001,56"
,,,Data finalizarii (decontarii): 20-01-2026,,,,
,,,Beneficiar:DIGI ROMANIA SA,,,,
,,,In contul:RO35ANON9999999999999999,,,,
,,,Banca:INGB CENTRALA,,,,
,,,Detalii:37741995,,,,
,,,60439508,,,,
,,,Referinta:961985601,,,,
20 ianuarie 2026,,,Tranzactie Round Up,"1,00",,,"8.138,00"
,,,Data finalizarii (decontarii): 20-01-2026,,,,
,,,Referinta:40035,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
20 ianuarie 2026,,,Cumparare POS,"5,00",,,"8.139,00"
,,,Data finalizarii (decontarii): 21-01-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:20-01-2026,,,,
,,,Numar autorizare:100017,,,,
